index,Code,year,n_days,mean,std,min,max
51,1062A,2015,364,41.53,30.39,7.45,186.14
51,1062A,2016,366,37.19,27.53,5.4,177.83
51,1062A,2017,365,31.44,25.42,7.18,243.74
51,1062A,2018,360,29.1,22.84,6.15,160.67
51,1062A,2019,364,30.11,21.98,3.78,160.04
52,1063A,2015,364,41.31,29.71,3.5,203.05
52,1063A,2016,366,39.53,28.58,6.12,183.52
52,1063A,2017,365,33.88,24.64,7.5,215.82
52,1063A,2018,360,31.37,24.07,7.15,185.17
52,1063A,2019,364,29.58,20.77,4.75,139.0
53,1064A,2015,362,46.04,35.77,4.58,213.76
53,1064A,2016,366,43.81,29.77,7.25,195.86
53,1064A,2017,365,42.12,28.9,8.27,277.1
53,1064A,2018,360,37.3,26.34,7.58,177.09
53,1064A,2019,364,30.67,20.11,7.0,153.04
54,1065A,2015,364,41.57,30.75,8.44,180.24
54,1065A,2016,366,38.09,28.7,3.1,170.91
54,1065A,2017,365,32.71,24.36,6.0,167.12
54,1065A,2018,360,30.95,23.76,5.92,177.92
54,1065A,2019,363,27.39,18.63,6.42,138.38
55,1066A,2015,364,37.03,24.82,4.45,157.29
55,1066A,2016,366,33.51,25.03,3.33,177.57
55,1066A,2017,365,31.4,21.38,8.0,172.96
55,1066A,2018,360,30.54,20.77,8.33,146.08
55,1066A,2019,338,28.06,18.36,4.04,144.38
56,1067A,2015,364,85.81,74.03,4.83,547.07
56,1067A,2016,366,66.81,60.6,6.71,408.45
56,1067A,2017,365,60.53,50.02,10.12,328.71
56,1067A,2018,360,54.25,39.29,9.38,300.26
56,1067A,2019,364,47.3,38.31,7.06,308.46
57,1069A,2015,364,84.51,71.28,5.42,468.12
57,1069A,2016,153,62.43,55.34,9.77,379.25
58,1070A,2015,364,81.48,71.36,2.93,542.0
58,1070A,2016,366,67.96,62.74,4.0,426.86
58,1070A,2017,365,62.41,51.89,8.12,364.33
58,1070A,2018,360,53.12,39.41,8.79,294.0
58,1070A,2019,364,45.6,39.05,6.83,321.83
59,1071A,2015,364,72.38,52.75,4.67,406.86
59,1071A,2016,366,67.99,47.35,11.33,322.12
59,1071A,2017,365,66.11,44.62,13.88,266.33
59,1071A,2018,360,56.92,39.53,8.43,282.5
59,1071A,2019,364,51.34,40.91,7.22,259.21
60,1072A,2015,363,74.53,55.96,2.5,448.05
60,1072A,2016,366,70.64,49.78,6.74,323.46
60,1072A,2017,365,64.58,43.78,18.25,267.54
60,1072A,2018,358,56.59,38.69,13.1,276.0
60,1072A,2019,364,48.22,37.78,5.73,214.5
61,1073A,2015,364,63.74,45.47,6.74,324.27
61,1073A,2016,366,67.57,47.35,11.92,297.12
61,1073A,2017,365,67.89,43.14,19.58,274.79
61,1073A,2018,360,61.73,40.18,11.71,284.58
61,1073A,2019,364,50.46,37.67,7.26,219.04
62,1074A,2015,364,95.69,74.44,18.71,735.62
62,1074A,2016,366,85.68,57.21,9.0,378.25
62,1074A,2017,365,72.29,49.87,15.58,338.04
62,1074A,2018,360,59.33,41.85,11.64,248.17
62,1074A,2019,364,54.3,44.24,6.69,280.33
63,1075A,2015,364,96.64,75.63,19.94,723.52
63,1075A,2016,366,89.89,58.04,15.92,420.12
63,1075A,2017,365,78.86,51.84,18.75,351.62
63,1075A,2018,360,61.38,44.81,12.71,266.13
63,1075A,2019,362,57.85,44.9,7.75,289.0
64,1077A,2015,363,106.24,85.91,8.48,665.83
64,1077A,2016,366,87.95,65.08,12.67,464.09
64,1077A,2017,365,83.09,62.14,14.46,473.87
64,1077A,2018,359,70.01,54.73,9.5,382.71
64,1077A,2019,358,67.26,54.65,9.05,375.68
65,1078A,2015,364,97.57,78.64,11.26,500.54
65,1078A,2016,366,84.01,62.35,8.13,382.05
65,1078A,2017,365,81.47,59.54,13.48,455.79
65,1078A,2018,360,64.57,51.75,8.75,353.25
65,1078A,2019,344,66.85,55.07,7.57,334.12
66,1079A,2015,364,100.27,80.41,8.43,540.83
66,1079A,2016,365,94.02,70.11,7.0,467.42
66,1079A,2017,361,85.54,59.48,15.17,436.88
66,1079A,2018,360,68.45,55.6,9.37,388.35
66,1079A,2019,362,59.51,53.14,8.0,324.79
67,1081A,2015,364,61.22,41.07,7.78,241.9
67,1081A,2016,366,65.83,51.98,4.83,309.92
67,1081A,2017,365,67.39,45.74,10.75,296.54
67,1081A,2018,289,58.5,37.7,6.5,216.67
67,1081A,2019,364,51.64,36.96,10.1,255.75
68,1082A,2015,329,58.48,35.39,9.5,238.0
68,1082A,2016,5,54.8,45.64,21.0,129.0
69,1083A,2015,362,42.34,31.68,3.52,207.22
69,1083A,2016,366,44.72,37.2,3.29,241.12
69,1083A,2017,363,45.74,37.3,6.4,229.58
69,1083A,2018,286,40.97,29.05,3.62,159.77
69,1083A,2019,364,38.53,29.78,4.38,189.79
70,1084A,2015,364,61.27,41.56,7.13,277.11
70,1084A,2016,366,69.35,59.33,5.08,400.84
70,1084A,2017,365,74.85,58.46,10.21,466.25
70,1084A,2018,358,70.56,44.1,6.88,231.0
70,1084A,2019,364,64.05,52.64,7.38,402.17
71,1085A,2015,364,62.12,40.28,6.09,263.78
71,1085A,2016,366,72.39,63.08,3.57,417.17
71,1085A,2017,365,67.29,52.68,11.21,418.35
71,1085A,2018,286,58.07,38.68,6.65,193.38
71,1085A,2019,364,58.21,43.33,7.12,282.75
72,1086A,2015,364,55.76,37.11,6.48,227.67
72,1086A,2016,366,66.11,59.72,5.42,369.44
72,1086A,2017,365,70.21,55.12,11.17,384.05
72,1086A,2018,312,57.53,35.57,9.17,231.3
72,1086A,2019,364,52.78,38.28,8.58,279.38
73,1087A,2015,362,63.36,39.91,8.17,220.5
73,1087A,2016,366,59.5,47.53,4.75,336.08
73,1087A,2017,365,67.62,49.95,9.88,362.8
73,1087A,2018,296,59.13,37.28,8.0,209.75
73,1087A,2019,364,54.76,39.21,6.46,276.67
74,1088A,2015,363,58.66,47.34,4.83,402.9
74,1088A,2016,366,60.8,45.32,6.67,324.67
74,1088A,2017,365,58.17,40.67,6.67,260.92
74,1088A,2018,355,55.25,34.84,3.56,195.46
74,1088A,2019,364,55.83,39.8,7.55,271.29
75,1089A,2015,364,69.64,48.62,9.26,366.11
75,1089A,2016,366,72.35,57.22,4.5,400.88
75,1089A,2017,365,68.17,56.26,7.71,422.5
75,1089A,2018,336,59.34,40.37,9.0,221.88
75,1089A,2019,364,55.9,41.69,6.17,352.79
76,1299A,2015,364,88.25,53.55,20.67,473.58
76,1299A,2016,366,74.56,47.25,14.42,459.89
76,1299A,2017,363,61.09,44.37,5.92,308.75
76,1299A,2018,360,49.9,34.71,6.91,210.21
76,1299A,2019,360,48.43,35.42,2.65,276.59
77,1300A,2015,358,94.07,57.08,17.18,399.92
77,1300A,2016,359,82.11,49.68,17.46,410.64
77,1300A,2017,364,62.91,41.95,7.9,294.41
77,1300A,2018,360,52.42,37.02,7.67,266.43
77,1300A,2019,364,56.8,37.85,5.71,267.09
78,1302A,2015,340,97.64,63.64,20.04,448.79
78,1302A,2016,362,73.4,49.93,10.83,431.96
78,1302A,2017,364,60.63,42.01,6.8,304.0
78,1302A,2018,359,55.46,38.87,9.81,257.14
78,1302A,2019,364,57.39,39.62,4.3,287.23
79,1303A,2015,364,92.49,57.19,19.17,427.42
79,1303A,2016,366,78.37,51.03,14.96,424.21
79,1303A,2017,359,68.37,48.74,6.62,319.79
79,1303A,2018,359,56.61,37.67,9.78,244.92
79,1303A,2019,364,55.61,40.11,3.0,280.96
80,1304A,2015,204,93.67,44.17,29.0,299.04
80,1304A,2016,26,133.03,89.9,44.75,446.37
80,1304A,2017,362,76.36,46.37,8.68,305.71
80,1304A,2018,360,59.03,39.78,5.38,258.46
80,1304A,2019,364,59.35,40.74,3.15,299.33
81,1306A,2015,262,91.69,58.52,12.25,368.54
81,1306A,2016,366,71.58,44.67,13.96,322.58
81,1306A,2017,356,63.79,38.3,7.65,250.46
81,1306A,2018,359,55.11,39.29,6.0,244.48
81,1306A,2019,362,55.5,37.93,3.42,269.38
82,1316A,2015,364,92.52,57.64,8.48,387.4
82,1316A,2016,366,79.63,70.05,13.33,557.35
82,1316A,2017,365,72.75,56.15,13.0,344.4
82,1316A,2018,360,64.08,51.91,9.24,368.96
82,1316A,2019,363,58.64,48.04,5.96,273.73
83,1317A,2015,364,89.71,57.1,11.87,382.82
83,1317A,2016,366,75.03,66.94,12.5,578.88
83,1317A,2017,365,70.09,51.07,13.33,305.0
83,1317A,2018,360,62.63,49.87,9.95,346.3
83,1317A,2019,364,58.41,49.35,6.33,264.58
84,1318A,2015,364,94.13,62.25,11.67,428.53
84,1318A,2016,366,77.92,72.13,12.17,633.33
84,1318A,2017,365,74.79,55.96,12.58,339.83
84,1318A,2018,360,68.45,54.28,10.05,380.7
84,1318A,2019,364,58.63,50.61,7.79,286.75
85,1319A,2015,364,100.53,61.67,7.24,383.5
85,1319A,2016,366,79.54,69.17,11.12,620.22
85,1319A,2017,365,72.44,53.99,13.83,333.67
85,1319A,2018,360,64.48,51.99,6.76,351.42
85,1319A,2019,359,59.18,49.85,7.75,276.64
86,1320A,2015,364,104.83,67.12,10.7,398.14
86,1320A,2016,366,81.81,70.64,12.92,607.0
86,1320A,2017,365,74.01,54.55,12.3,346.12
86,1320A,2018,359,65.37,49.6,11.33,353.96
86,1320A,2019,345,58.95,46.76,7.29,256.75
87,1321A,2015,364,95.36,62.51,9.62,412.64
87,1321A,2016,366,78.64,71.83,12.21,657.22
87,1321A,2017,365,71.74,54.54,12.43,334.95
